Category,apkName,apkSizeInByte,apkSizeReadable,dex2jarSizeInByte,dex2jarSizeReadable
Connectivity,2K_org.aja.flightmode_2.apk,57977,58K,1951,2K
Connectivity,2K_net.loeuillet.wifi_eap_sim_conf_1.apk,56182,56K,2373,2K
Development,2K_com.notriddle.null_launcer_11.apk,12641,13K,1777,2K
Development,3K_com.tmendes.dadosd_4.apk,45020,45K,3343,3K
Games,4K_com.banasiak.coinflipext.example_4.apk,1046198,1.0M,4454,4K
Games,7K_org.valos.isolmoa_1.apk,546034,546K,7257,7K
Graphics,15K_at.bitfire.gfxtablet_3.apk,41990,42K,15236,15K
Graphics,19K_com.gmail.altakey.effy_9.apk,31731,32K,19371,19K
Internet,4K_com.intrications.android.sharebrowser_2.apk,26299,26K,3593,4K
Internet,4K_org.surrel.messengerbypasser_1.apk,55804,56K,3945,4K
Money,16K_de.drhoffmannsoft.pizza_7.apk,56385,56K,15994,16K
Money,28K_org.billthefarmer.currency_105.apk,275151,275K,28325,28K
Multimedia,5K_org.bitbucket.tickytacky.mirrormirror_2.apk,7084,7K,4621,5K
Multimedia,6K_de.onyxbits.photobookmark_1.apk,39117,39K,6023,6K
Navigation,5K_net.osmand.parkingPlugin_6.apk,81884,82K,4825,5K
Navigation,5K_net.osmand.srtmPlugin.paid_6.apk,65234,65K,5004,5K
Phone&SMS,5K_net.yxejamir.misbotheringsms_1000000.apk,30323,30K,4720,5K
Phone&SMS,7K_com.everysoft.autoanswer_3.apk,91346,91K,6620,7K
Reading,10K_org.ninthfloor.copperpdf_2.apk,421877,422K,9770,10K
Reading,13K_com.developfreedom.wordpowermadeeasy_11.apk,146609,147K,13288,13K
Science&Education,9K_org.gringene.concentricclock_3.apk,40357,40K,8539,9K
Science&Education,9K_org.gringene.colourclock_3.apk,46516,47K,9306,9K
Science&Education,10K_de.steinpfeffer.rdt_1.apk,23895,24K,10278,10K
Security,7K_com.maralexbar.wifikeyview_2.apk,14037,14K,6515,7K
Security,7K_byrne.utilities.hashpass_1.apk,28218,28K,6783,7K
Sports&Health,12K_com.jwetherell.heart_rate_monitor_1.apk,25873,26K,12315,12K
Sports&Health,17K_com.serwylo.msjviewer_3.apk,20923,21K,16941,17K
System,3K_se.johanhil.clipboard_2.apk,14310,14K,2764,3K
System,3K_sony.hidden.servicemenu_1.apk,30795,31K,2917,3K
Theming,3K_it.lucci.cm.greyscaletheme_114.apk,4227079,4.2M,2778,3K
Theming,3K_kmac.dejavu_fonts_10.apk,5154990,5.2M,2797,3K
Time,11K_com.politedroid_4.apk,17725,18K,11439,11K
Time,12K_com.github.wakhub.tinyclock_5.apk,27031,27K,11865,12K
Writing,3K_name.juodumas.ext_kbd_lithuanian_1.apk,7898,8K,3085,3K
Writing,3K_name.marfl.ext_kbd_bulgarian_phonetic_1.apk,7852,8K,3154,3K
