apkName,dex2JarSize,dex2jarSizeReadable,numOfSources,numOfSinks,numOfFlows,AnalysisTime (s),Total reachable sink call,Total reachable source call,Flows into sinks (Args),"Flows into sinks (Args, Precise)",Flows into sinks (Mem),Flows into sinks (Rec),Flows_Num,Total Reachable LOC
14K_com.jb.gokeyboard.langpack.ru.apk,14319,14K,1,3,0,88,3,1,0,0,0,0,0,50945
15K_air.com.puffballsunited.escapingtheprison.apk,14705,15K,13,11,29,104,11,13,29,9,21,16,75,70803
86K_com.ksmobile.launcher.plugin.unread.apk,86079,86K,98,128,118,365,128,98,118,113,1732,1433,3396,108817
113K_com.apusapps.tools.flashtorch.apk,112859,113K,92,101,506,4013,101,92,506,425,1668,469,3068,105971
126K_com.devuni.flashlight.police.apk,126010,126K,13,9,3,315,9,13,3,0,1,0,4,94390
136K_com.apusapps.tools.unreadtips.apk,136171,136K,125,80,720,4496,80,125,720,608,2585,772,4685,122753
221K_com.gcmmtp.hom.apk,221198,221K,136,160,1949,2433,160,136,1949,1902,5227,1212,10290,130157
368K_com.taxaly.noteme.apk,367683,368K,42,12,20,308,12,42,20,16,83,59,178,133790
377K_air.ru.fixiclub.elka.apk,377250,377K,26,13,89,1179,13,26,89,9,62,46,206,93769
377K_air.ru.fixiclub.puzyri.apk,377350,377K,26,13,89,1077,13,26,89,9,62,46,206,93769
377K_air.ru.fixiclub.codelock.apk,377413,377K,26,13,89,1103,13,26,89,9,62,46,206,93769
377K_air.ru.mashabear.showcase.apk,377454,377K,26,13,89,1129,13,26,89,9,62,46,206,93769
377K_air.ru.fixiclub.batteries.apk,377463,377K,26,13,89,1123,13,26,89,9,62,46,206,93769
378K_air.ru.fixiclub.cablesalad.apk,377506,378K,26,13,89,1072,13,26,89,9,62,46,206,93769
