apkName,dex2JarSize,dex2jarSizeReadable,numOfSources,numOfSinks,numOfFlows,AnalysisTime (s),Index,Time
14K_com.jb.gokeyboard.langpack.ru.apk,14319,14K,5,3,0,2.93135174,1,2.931351737
15K_air.com.puffballsunited.escapingtheprison.apk,14705,15K,87,8,5,4.06754957,2,4.067549568
86K_com.ksmobile.launcher.plugin.unread.apk,86079,86K,70,56,18,5.68802725,3,5.688027253
113K_com.apusapps.tools.flashtorch.apk,112859,113K,104,44,9,7.59328463,4,7.593284632
126K_com.devuni.flashlight.police.apk,126010,126K,11,8,1,3.70889419,5,3.708894187
136K_com.apusapps.tools.unreadtips.apk,136171,136K,123,37,17,10.73598711,6,10.73598711
221K_com.gcmmtp.hom.apk,221198,221K,75,29,5,10.43382696,7,10.43382696
368K_com.taxaly.noteme.apk,367683,368K,127,9,3,9.66756331,9,9.667563311
377K_air.ru.fixiclub.elka.apk,377250,377K,92,10,7,5.54045901,10,5.540459011
377K_air.ru.fixiclub.puzyri.apk,377350,377K,92,10,7,5.16601486,11,5.166014857
377K_air.ru.fixiclub.codelock.apk,377413,377K,92,10,7,5.39630443,12,5.396304431
377K_air.ru.mashabear.showcase.apk,377454,377K,92,10,7,5.45122603,13,5.45122603
377K_air.ru.fixiclub.batteries.apk,377463,377K,92,10,7,5.48633134,14,5.486331335
378K_air.ru.fixiclub.cablesalad.apk,377506,378K,92,10,7,5.16285309,15,5.16285309
