apkName,dex2JarSize,dex2jarSizeReadable,numOfSources,numOfSinks,numOfFlows,AnalysisTime (s),Index,Time
14K_com.jb.gokeyboard.langpack.ru.apk,14319,14K,5,3,0,2.93135174,1,2.931351737
15K_air.com.puffballsunited.escapingtheprison.apk,14705,15K,87,8,5,4.06754957,2,4.067549568
86K_com.ksmobile.launcher.plugin.unread.apk,86079,86K,70,56,18,5.68802725,3,5.688027253
113K_com.apusapps.tools.flashtorch.apk,112859,113K,104,44,9,7.59328463,4,7.593284632
126K_com.devuni.flashlight.police.apk,126010,126K,11,8,1,3.70889419,5,3.708894187
136K_com.apusapps.tools.unreadtips.apk,136171,136K,123,37,17,10.73598711,6,10.73598711
221K_com.gcmmtp.hom.apk,221198,221K,75,29,5,10.43382696,7,10.43382696
249K_com.lego.bionicle.maskofcreation.apk,248607,249K,54,8,4,6.2445674,8,6.244567396
368K_com.taxaly.noteme.apk,367683,368K,127,9,3,9.66756331,9,9.667563311
377K_air.ru.fixiclub.elka.apk,377250,377K,92,10,7,5.54045901,10,5.540459011
377K_air.ru.fixiclub.puzyri.apk,377350,377K,92,10,7,5.16601486,11,5.166014857
377K_air.ru.fixiclub.codelock.apk,377413,377K,92,10,7,5.39630443,12,5.396304431
377K_air.ru.mashabear.showcase.apk,377454,377K,92,10,7,5.45122603,13,5.45122603
377K_air.ru.fixiclub.batteries.apk,377463,377K,92,10,7,5.48633134,14,5.486331335
378K_air.ru.fixiclub.cablesalad.apk,377506,378K,92,10,7,5.16285309,15,5.16285309
379K_com.facebook.orca.apk,378977,379K,159,186,39,9.72176707,16,9.721767071
389K_com.bmmballance.apk,389238,389K,59,8,1,10.24906328,17,10.24906328
397K_com.maxlab.fallingmoneywallpaperlte.apk,396855,397K,15,7,3,4.98896083,18,4.988960831
415K_com.hasbro.FurbyBoom.apk,415446,415K,53,8,3,5.89661559,19,5.896615592
438K_com.apusapps.tools.booster.apk,437605,438K,262,64,25,9.03149715,20,9.031497149
448K_com.sa.detektor.kecantikan.apk,448134,448K,164,81,41,52.41731115,21,52.41731115
458K_com.kaseruapp.changewallpaper1.apk,457525,458K,9,2,1,22.62812228,22,22.62812228
474K_com.vapp.guncamera3d.apk,474179,474K,47,6,3,6.70455685,23,6.704556845
534K_com.valvesoftware.android.steam.community.apk,534257,534K,71,24,6,8.69688869,24,8.696888689
607K_com.fgames.carovertaking.apk,607303,607K,124,58,38,29.4672712,25,29.4672712
677K_com.facebook.katana.apk,677297,677K,191,213,44,16.94147929,26,16.94147929
725K_com.rarlab.rar.apk,725258,725K,328,124,82,17.03838691,27,17.03838691
766K_com.socialnmobile.dictapps.notepad.color.note.apk,766058,766K,640,285,90,91.76665011,28,91.76665011
935K_com.stark.candy.apk,935281,935K,77,28,11,7.40807721,29,7.40807721
1.2M_com.mediocre.smashhit.apk,1231543,1.2M,50,89,14,9.88642563,30,9.886425633
1.4M_com.FlowersLiveWallpaperHQ.apk,1399344,1.4M,44,9,6,406.6211456,31,406.6211456
1.6M_com.e3games.voicechanger.apk,1566761,1.6M,56,70,12,30.02516107,32,30.02516107
1.8M_com.ericaapps.remote.control.apk,1779359,1.8M,319,193,91,36.44632926,33,36.44632926
1.9M_ru.warappsandgames.simulatorpetard.apk,1937819,1.9M,47,6,3,7.61858845,34,7.618588453
2.1M_com.magmamobile.game.Plumber.apk,2105254,2.1M,47,6,3,7.61858845,35,7.618588453
2.4M_com.kino.nashetv.apk,2409963,2.4M,240,129,73,40.29820841,36,40.29820841
2.7M_com.microsoft.office.officehub.apk,2651002,2.7M,381,143,27,25.72365787,37,25.72365787
3.2M_cz.aponia.bor3.apk,3155114,3.2M,56,17,3,9.24639344,38,9.246393442
3.3M_com.teamlava.jewel.apk,3298782,3.3M,38,34,5,7.50602118,39,7.506021182
3.4M_com.WaterfallLiveWallpaperHDHQ.apk,3431537,3.4M,533,277,126,44.72054169,40,44.72054169
3.7M_com.igg.castleclash_ru.apk,3702175,3.7M,327,271,68,20.2097086,41,20.2097086
3.9M_com.minnavinet.bubbleshooterralph_1.apk,3905380,3.9M,107,134,28,15.67347791,42,15.67347791
4.2M_com.igg.castleclash.apk,4193406,4.2M,407,287,110,60.63281288,43,60.63281288
4.3M_com.tdosaot.jellypuzzle.apk,4325433,4.3M,4,5,0,8.23351636,44,8.233516363
4.4M_com.playflock.indianacat.apk,4403000,4.4M,109,111,18,11.39486902,45,11.39486902
4.6M_com.mastercomlimited.racethetrafficmoto.apk,4582326,4.6M,254,211,51,24.47902635,46,24.47902635
4.7M_com.machinezone.gow.apk,4748423,4.7M,245,205,74,22.82556063,47,22.82556063
4.9M_com.ffgames.sniper.apk,4919761,4.9M,186,151,34,32.24533206,48,32.24533206
5.1M_com.speed.night.traffic.apk,5129575,5.1M,304,138,53,101.2689997,49,101.2689997
5.3M_com.pikpok.mr.play.apk,5322934,5.3M,484,325,95,80.46397734,50,80.46397734
5.6M_com.Seriously.BestFiends.apk,5584739,5.6M,185,155,53,37.17761879,51,37.17761879
5.7M_eu.namcobandaigames.tekkencard.apk,5741522,5.7M,395,288,95,206.2322198,52,206.2322198
5.9M_com.kongregate.mobile.globalassault.google.apk,5879487,5.9M,192,176,51,20.3246397,53,20.3246397
5.9M_com.easygame.marblelegend.apk,5911328,5.9M,400,178,96,29.95352703,54,29.95352703
6.2M_com.yodo1.crossyroad.apk,6238367,6.2M,216,245,64,31.64339091,55,31.64339091
6.3M_com.rovio.angrybirdsrio.apk,6333596,6.3M,608,302,91,81.66978027,56,81.66978027
6.6M_com.speed.game.realracingspeed.apk,6589313,6.6M,906,548,200,189.4365808,57,189.4365808
6.9M_ua.privatbank.ap24.apk,6897768,6.9M,888,242,41,76.95643942,58,76.95643942
7.2M_com.fungames.sniper3d.apk,7176574,7.2M,233,180,48,32.50220555,59,32.50220555
7.3M_com.miniclip.railrush.apk,7300164,7.3M,807,562,218,143.5787582,60,143.5787582
7.7M_com.rovio.gold.apk,7732750,7.7M,703,476,149,90.99841658,61,90.99841658
7.8M_com.kedoo.talkingbooba.apk,7762293,7.8M,277,321,90,195.1072809,62,195.1072809
8.4M_com.kabam.marvelbattle.apk,8395182,8.4M,255,226,66,493.066365,63,493.066365
